Premier_League,La_Liga,Bundes_Liga,Ligue_1,Serie_A
Newcastle United,Celta de Vigo,Borussia M'gladbach,Troyes,SPAL
Huddersfield Town,Espanyol,Werder Bremen,Olympique Lyonnais,Milan
Swansea City,Deportivo Alaves,Bayer Leverkusen,PSG,Juventus
AFC Bournemouth,Levante,Borussia Dortmund,Olympique Marseille,Roma
Brighton & Hove Albion,Getafe,Bayern Munich,Nantes,Sassuolo
Burnley,Athletic Club,Stuttgart,Nice,Bologna
Leicester City,Atletico Madrid,Schalke 04,Rennes,Sampdoria
West Ham United,Valencia,Hannover 96,Strasbourg,Chievo
Stoke City,Real Madrid,Hertha BSC,Angers,Lazio
Watford,Barcelona,Wolfsburg,Bordeaux,Udinese
Everton,Las Palmas,Hamburger SV,Dijon,Internazionale
West Bromwich Albion,Leganes,Freiburg,Metz,Benevento
Manchester City,Eibar,Hoffenheim,Saint-Etienne,Cagliari
Tottenham Hotspur,Girona,Augsburg,Monaco,Atalanta
Crystal Palace,Deportivo La Coruna,Mainz 05,Lille,Fiorentina
Southampton,Real Betis,Eintracht Frankfurt,Caen,Torino
Liverpool,Real Sociedad,Koln,Toulouse,Napoli
Chelsea,Sevilla,RB Leipzig,Montpellier,Crotone
Manchester United,Malaga,,Guingamp,Hellas Verona
Arsenal,Villarreal,,Amiens SC,Genoa
